Source,Destination,Distance
Hyderabad,Bangalore,570
Hyderabad,Chennai,630
Hyderabad,Mumbai,710
Bangalore,Chennai,350
Bangalore,Mysore,150
Chennai,Coimbatore,500
Mumbai,Pune,150
Mumbai,Ahmedabad,530
Pune,Nagpur,720
Nagpur,Bhopal,350
Nagpur,Raipur,280
Bhopal,Indore,190
Indore,Ahmedabad,400
Ahmedabad,Jaipur,670
Jaipur,Delhi,280
Delhi,Lucknow,550
Delhi,Chandigarh,250
Lucknow,Patna,530
Patna,Kolkata,580
Kolkata,Bhubaneswar,440
Bhubaneswar,Visakhapatnam,450
Visakhapatnam,Hyderabad,620
Coimbatore,Kochi,190
Kochi,Trivandrum,210
Raipur,Ranchi,450
Ranchi,Patna,330
Chandigarh,Shimla,110
Goa,Mumbai,590
Goa,Mangalore,360
Mangalore,Bangalore,350
Surat,Mumbai,280
Surat,Ahmedabad,270
Varanasi,Lucknow,320
Varanasi,Patna,260
Amritsar,Chandigarh,230
Jodhpur,Jaipur,340
Udaipur,Ahmedabad,260
Guwahati,Shillong,100
Agra,Delhi,230
Agra,Lucknow,330
Kanpur,Lucknow,90
Meerut,Delhi,80
Gwalior,Agra,120
Dehradun,Delhi,250
Srinagar,Jammu,260
Tirupati,Chennai,140
Madurai,Trivandrum,300
Warangal,Hyderabad,150
Nashik,Mumbai,170
Aurangabad,Pune,240
Dhanbad,Ranchi,170
Bareilly,Lucknow,250
Aligarh,Delhi,140
Panaji,Goa,40
